Bodywash Name,Gender,Bodywash Notes (normalized),Recommended Perfume,Matched Notes,Match Strength (0-100),Perfume Notes (first 12),Reasoning
https://i5.walmartimages.com/seo/Harry-s-Men-s-Cleansing-Body-Wash-Redwood-Scent-16-fl-oz_34507714-93d7-4cfc-bca8-b76c4d64f005.263a18ecda3dae588ac920ea526beb56.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"cedar, sandalwood, wood, musk, charcoal",Mon Nom Est Rouge Eau de Parfum,"cedar → cedar (exact), sandalwood → sandalwood (exact), wood → woody balsamic (fuzzy), musk → musk (exact)",76.0,"pepper, lemon, elemi, pink pepper, metallic affect, rose, geranium, cardamom, cumin, cinnamon, ginger, incense","Shares key notes (cedar → cedar, sandalwood → sandalwood, wood → woody balsamic, musk → musk); overall match strength 76.0/100."
https://i5.walmartimages.com/seo/Old-Spice-Body-Wash-for-Men-Mamba-King-All-Skin-Types-24-fl-oz_8bced0cc-6b12-43d8-a9d9-0df719cbb270.f58b73f8a89939988f1bec7e57dac03e.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"pepper, cardamom, ozone, charcoal",Mohur Extrait Parfum Extrait,"pepper → pepper (exact), cardamom → cardamom (exact)",50.0,"cardamom, coriander, ambrette, carrot seeds, pepper, elemi, iris, jasmine, rose, violet, almond, leather","Shares key notes (pepper → pepper, cardamom → cardamom); overall match strength 50.0/100."
https://i5.walmartimages.com/seo/Old-Spice-Body-Wash-for-Men-Swagger-24-fl-oz-2-Pack_fea90e28-6ace-4816-b7cc-1d9a87974a36.e3bb8cd74623741def758338a93e7fbd.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"pepper, cardamom, ozone, charcoal",Mohur Extrait Parfum Extrait,"pepper → pepper (exact), cardamom → cardamom (exact)",50.0,"cardamom, coriander, ambrette, carrot seeds, pepper, elemi, iris, jasmine, rose, violet, almond, leather","Shares key notes (pepper → pepper, cardamom → cardamom); overall match strength 50.0/100."
https://i5.walmartimages.com/seo/18-21-Man-Made-Wash-3-in-1-Noble-Oud-18-oz_16503103-31bc-4c22-833a-fbf3234527c7.184b2ef36ea6975c8e786d00eb90d2ab.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"cedar, sandalwood, wood, charcoal",Interlude Black Iris Eau de Parfum,"cedar → cedar (exact), sandalwood → sandalwood (exact), wood → agarwood smoke (fuzzy)",70.0,"bergamot, rosemary, violet leaves, orris, amber, frankincense, cistus, myrrh, vanilla, leather, agarwood smoke, patchouli","Shares key notes (cedar → cedar, sandalwood → sandalwood, wood → agarwood smoke); overall match strength 70.0/100."
https://i5.walmartimages.com/seo/Dr-Squatch-Natural-Body-Wash-For-Men-24-Hour-Moisturizing-Shower-Gel-for-All-Skin-Types-Coconut-Castaway-14-fl-oz_9c29d4ef-9330-4d69-8ea8-f683ff35074b.e08c8ffd297ed40f93026cf0210b5dfc.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"coconut, charcoal",Musc Monoi Eau de Toilette,coconut → coconut (exact),50.0,"neroli, lemon, petitgrain, ylang-ylang, jasmine, coconut, calone, magnolia, sandalwood, musk",Shares key notes (coconut → coconut); overall match strength 50.0/100.
https://i5.walmartimages.com/seo/Every-Man-Jack-Men-s-Hydrating-3-in-1-Body-Wash-Shampoo-and-Conditioner-Cedarwood-28-8-Fluid-Ounces_30e424aa-bd1d-4b7a-9f77-37d236a24b4a.52ce6f866528ea6214105009ec86c602.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"cedar, sandalwood, wood, charcoal",Interlude Black Iris Eau de Parfum,"cedar → cedar (exact), sandalwood → sandalwood (exact), wood → agarwood smoke (fuzzy)",70.0,"bergamot, rosemary, violet leaves, orris, amber, frankincense, cistus, myrrh, vanilla, leather, agarwood smoke, patchouli","Shares key notes (cedar → cedar, sandalwood → sandalwood, wood → agarwood smoke); overall match strength 70.0/100."
https://i5.walmartimages.com/seo/Old-Spice-High-Endurance-Body-Wash-for-Men-Pure-Sport-24-fl-oz_2f997b8b-5648-4b5a-9e38-3f42552073e2.bdf1a02d884c88620a89fc68b2ea00f2.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"pepper, cardamom, ozone, charcoal",Mohur Extrait Parfum Extrait,"pepper → pepper (exact), cardamom → cardamom (exact)",50.0,"cardamom, coriander, ambrette, carrot seeds, pepper, elemi, iris, jasmine, rose, violet, almond, leather","Shares key notes (pepper → pepper, cardamom → cardamom); overall match strength 50.0/100."
https://i5.walmartimages.com/seo/Suave-Men-Citrus-Rush-3-in-1-Shampoo-Conditioner-Body-Wash-Daily-Clean-Citrus-Sandalwood-28-fl-oz_6c945cf3-1765-421c-b423-22e6aa78945a.6e9802b9a6478c0fac89b7be39163f73.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"bergamot, lemon, citrus, cedar, sandalwood, wood, musk, charcoal",Scandal Parfum Cologne,"bergamot → bergamot (exact), lemon → lemon (exact), cedar → cedar (exact), sandalwood → sandalwood (exact), wood → casmir wood (fuzzy), musk → musk (exact)",72.5,"lemon, bergamot, petitgrain, spearmint, lavender, basil, tarragon, lily of the valley, rose, jasmin de grasse, violet, rhubarb","Shares key notes (bergamot → bergamot, lemon → lemon, cedar → cedar, sandalwood → sandalwood); overall match strength 72.5/100."
https://i5.walmartimages.com/seo/Axe-Apollo-Refreshing-Daily-Use-Men-s-Body-Wash-Twin-Pack-All-Skin-Sage-Cedarwood-16-oz_bcca260d-7d11-4ce7-be01-5c5e4ebb464d.3c2fb1588a0700482a2ee7c04f9c536c.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"cedar, sandalwood, wood, ozone, sage, rosemary, herbal, charcoal",Haxan Eau de Parfum,"cedar → cedar (exact), sandalwood → sandalwood (exact), wood → wormwood (fuzzy), sage → sage (exact), rosemary → rosemary (exact)",60.0,"chamomile, saffron, galbanum, lavender, rosemary, clary sage, marjoram, wormwood, sage, jasmine, cypress, fir balsam","Shares key notes (cedar → cedar, sandalwood → sandalwood, wood → wormwood, sage → sage); overall match strength 60.0/100."
https://i5.walmartimages.com/seo/Every-Man-Jack-Men-s-Hydrating-Body-Wash-Soap-for-All-Skin-Types-Sandalwood-16-9-Fluid-Ounces_9af736bd-f363-40ea-9c9d-d1ebf5d7f665.d5b1f677788b461dfba9c9be74fc57e9.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"cedar, sandalwood, wood, charcoal",Interlude Black Iris Eau de Parfum,"cedar → cedar (exact), sandalwood → sandalwood (exact), wood → agarwood smoke (fuzzy)",70.0,"bergamot, rosemary, violet leaves, orris, amber, frankincense, cistus, myrrh, vanilla, leather, agarwood smoke, patchouli","Shares key notes (cedar → cedar, sandalwood → sandalwood, wood → agarwood smoke); overall match strength 70.0/100."
